dep,catr,homme,part_indemne,part_tue,part_blesse_hospi,part_blesse_leger
65,9,0,0.3333333333333333,0,0,0.6666666666666666
45,9,1,0,0.16666666666666666,0.16666666666666666,0.6666666666666666
54,4,0,0.0410958904109589,0,0.15753424657534246,0.8013698630136986
03,4,0,0,0.02857142857142857,0.42857142857142855,0.5428571428571428
91,2,1,0,0.0425531914893617,0.3404255319148936,0.6170212765957447
88,3,0,0,0.02857142857142857,0.7428571428571429,0.22857142857142856
44,4,0,0.02318840579710145,0.028985507246376812,0.3710144927536232,0.5768115942028985
13,3,1,0.03189066059225513,0.06605922551252848,0.45785876993166286,0.44419134396355353
23,4,1,0,0.1,0.5,0.4
66,4,0,0,0.06451612903225806,0.22580645161290322,0.7096774193548387
33,9,1,0.045454545454545456,0.13636363636363635,0.5909090909090909,0.22727272727272727
65,2,0,0,0,0.3,0.7
38,2,1,0,0.25,0.3333333333333333,0.4166666666666667
61,4,1,0.0851063829787234,0,0.6595744680851063,0.2553191489361702
16,3,0,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.3076923076923077
85,3,1,0.028708133971291867,0.0861244019138756,0.631578947368421,0.2535885167464115
01,2,0,0,0,1,0
48,4,1,0,0,0.5454545454545454,0.45454545454545453
44,9,0,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.36363636363636365
42,6,1,0,0,0,1
21,4,1,0.06167400881057269,0.004405286343612335,0.30837004405286345,0.6255506607929515
91,4,0,0.02912621359223301,0,0.18446601941747573,0.7864077669902912
83,4,1,0.05555555555555555,0.024305555555555556,0.5104166666666666,0.4097222222222222
72,9,1,0.08823529411764706,0.029411764705882353,0.2647058823529412,0.6176470588235294
40,3,1,0.09174311926605505,0.11926605504587157,0.5963302752293578,0.1926605504587156
36,3,0,0.10526315789473684,0.10526315789473684,0.5263157894736842,0.2631578947368421
84,9,1,0,0.4,0.6,0
66,3,1,0,0.11827956989247312,0.6451612903225806,0.23655913978494625
38,4,0,0.05517241379310345,0.027586206896551724,0.2620689655172414,0.6551724137931034
92,3,1,0.08022130013831259,0.005532503457814661,0.11341632088520055,0.8008298755186722
92,2,0,0,0,0.1111111111111111,0.8888888888888888
16,3,1,0.025,0.175,0.6,0.2
59,7,1,0,0,0.3333333333333333,0.6666666666666666
26,6,1,0,0,0,1
33,9,0,0.1,0,0.8,0.1
30,4,0,0.05,0.03333333333333333,0.4,0.5166666666666667
