com,Part_grave,age_moyen,Part_homme,mod_mois,mod_jour,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu,mod_int,mod_int,mod_col,mod_catr,circ,mod_plan,mod_situ,mod_trajet,mod_choc
13026,25.0,56.75,87.5,avril,dimanche,0.0,0.0,12.5,37.5,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Côté gauche
13027,66.66666666666666,43.0,66.66666666666666,aout,mercredi,13.333333333333334,33.33333333333333,20.0,53.333333333333336,80.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
13028,39.39393939393939,49.27272727272727,75.75757575757575,aout,lundi,3.0303030303030303,3.0303030303030303,9.090909090909092,84.84848484848484,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
13029,100.0,48.5,100.0,aout,lundi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
13030,33.33333333333333,44.44444444444444,100.0,aout,dimanche,0.0,0.0,0.0,11.11111111111111,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - collisions multiples,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
13033,100.0,62.0,100.0,septembre,mercredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Arrière
1304,66.66666666666666,39.166666666666664,83.33333333333334,juillet,jeudi,16.666666666666664,0.0,16.666666666666664,83.33333333333334,66.66666666666666,Autre intersection,Autre intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
13041,50.0,43.25,100.0,juin,jeudi,25.0,25.0,25.0,100.0,50.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Arrière
13044,0.0,15.0,100.0,octobre,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant droit
1305,100.0,72.5,50.0,mars,lundi,0.0,0.0,50.0,50.0,50.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
13051,62.5,40.875,87.5,juin,samedi,0.0,25.0,0.0,0.0,62.5,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
13060,100.0,41.5,75.0,juin,samedi,0.0,0.0,25.0,25.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,En courbe à droite,Autre,Promenade - loisirs,Avant
13065,100.0,46.0,100.0,mai,samedi,0.0,0.0,0.0,100.0,50.0,Intersection en X,Intersection en X,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
13071,33.33333333333333,41.0,95.23809523809523,juin,lundi,0.0,4.761904761904762,0.0,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
13076,100.0,37.5,100.0,septembre,vendredi,0.0,50.0,0.0,0.0,100.0,Giratoire,Giratoire,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Avant
13079,100.0,79.0,100.0,mars,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Non renseigné,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
13084,90.0,57.6,80.0,septembre,mardi,0.0,0.0,0.0,10.0,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - en chaîne,Route départementale,Bidirectionnelle,Partie rectiligne,Sur piste cyclable,Promenade - loisirs,Arrière
